id,loss
4,2015.6285633
6,2315.49771564
9,9302.83203124
12,5549.12286216
15,1384.85979962
17,2060.62511431
21,2139.67741465
28,1593.43152995
32,2637.6769167
43,3812.212068
46,3026.88242513
50,1851.55007652
54,2114.52377401
62,2488.14605896
70,2416.60154759
71,5213.04357527
75,2182.31666233
77,3066.417621
81,2456.62949873
83,3395.10861109
87,2125.83743723
97,2612.17511983
103,2104.4049135
119,1902.8982042
120,2650.03554235
127,2244.66815288
138,3350.8968322
141,2539.88136725
148,1946.70091876
150,2766.84389797
151,2576.25081664
158,2157.79372089
160,6628.93635283
165,2465.99682485
168,4287.04384478
169,3089.65383683
177,2661.05687581
178,4358.85324461
184,2070.56921815
194,6414.95187703
198,2385.06887723
203,5519.32467355
211,2389.30462438
217,1594.88146275
219,1753.0588545
221,3629.68982916
227,2184.40693741
230,1777.91111557
235,1872.06049713
240,1855.71594731
243,2846.71349136
249,5438.78126888
253,3020.00040469
258,1686.9375732
261,1943.43953515
263,2910.59724342
264,2445.00083061
265,6193.78615504
268,1771.8547978
271,2750.80428146
274,6466.00512476
275,1802.32713992
279,3118.97932967
282,1566.81831343
286,3075.20974674
288,1612.22747325
294,2816.80791633
296,1644.62314518
297,1996.9302572
300,1549.47230294
303,7429.46219906
314,1566.81831343
315,5502.5230244
321,2313.59579741
323,5148.91649343
330,4404.47530811
341,3235.20742419
342,4518.84394327
352,2275.39190885
353,4981.04742718
360,5705.80856357
361,2184.00575769
362,4012.66118216
366,1469.77702422
372,3212.4134092
376,3209.63014149
377,2098.99783876
379,1603.87894125
380,4988.22002432
387,1612.22747325
392,2426.58411456
394,8939.95461909
395,2355.87939593
397,1686.9375732
407,4577.71965106
411,5367.34152776
416,2502.92218688
417,1827.30272723
419,2319.25311953
428,5520.63397473
431,2275.39190885
436,5785.17683336
438,1925.76745216
445,6008.68229456
446,5474.80879078
455,2165.72006039
456,1686.9375732
461,1594.88146275
463,2015.6285633
464,3956.21548084
466,3066.417621
467,3099.90200656
470,1972.8954058
475,1946.70091876
482,2759.31714431
490,3475.11757551
496,2279.68921894
497,5553.16498481
508,3008.08257482
510,1791.21065025
512,4222.8800924
513,4113.6235207
523,2410.08551567
531,5641.82297514
532,2934.31699664
533,1775.08912023
537,1692.92397866
544,4472.09076916
547,4388.40851199
556,6674.06448046
565,1430.26895944
566,1433.1606331
571,1566.81831343
573,3112.90398222
574,1644.62314518
581,3702.57319053
585,2645.85005371
589,3323.35897122
597,1866.07409167
601,2592.58565234
602,2186.49837014
613,2352.60754614
616,1549.47230294
619,2050.70371064
622,2933.12965061
623,3016.7842175
629,1726.44563798
634,1937.53844012
638,1384.85979962
642,1692.92397866
643,2716.32379443
645,1726.44563798
648,5805.87974414
652,2301.4895523
664,1608.2835856
666,2808.50952984
672,1424.36786441
676,1802.32713992
678,3812.44506776
682,1728.40284537
686,3458.49140761
688,2783.03259789
689,1992.11007857
690,2157.79372089
692,5955.02948955
695,2244.66815288
697,3918.71173301
698,2895.28509356
706,2259.96443869
708,2157.79372089
712,5058.47666669
715,2971.41105965
717,1264.74053985
725,3061.46567686
729,2033.57535074
737,1643.18229623
739,4178.97848752
747,3763.54103748
753,1954.26552152
758,3124.64300458
759,2274.97317938
763,1946.70091876
773,4887.65097327
774,2117.04951697
776,2289.45068074
788,4625.13828478
790,2878.80546432
794,2157.79372089
801,3859.71119634
802,2401.207451
805,2139.67741465
809,5345.47116076
812,1611.44854005
825,2760.18545522
828,2243.88921968
830,1939.3705142
833,1595.95260176
850,3381.6731287
852,6095.55672654
862,2177.85938762
863,2318.01152745
864,2409.23810407
865,3381.45339111
868,5882.58861915
872,1870.30172344
879,5568.45014226
880,1676.2214747
883,1855.71594731
886,1896.95923633
923,1817.87139026
924,1566.81831343
932,1728.60882141
945,5283.23793131
947,5798.98793757
948,1946.70091876
955,4222.82350207
963,4663.6650665
979,1919.42213388
989,2050.52977256
994,3004.30723671
995,2581.49830533
998,3453.11288536
1000,4733.22867278
1018,2444.73052501
1019,3515.22787086
1028,3076.3421711
1034,1726.44563798
1038,2613.79210758
1040,1638.84068976
1042,1600.83722531
1057,5838.56564075
1058,1785.83745506
1063,1995.00175224
1066,2281.66202029
1071,4080.47003354
1073,2705.50385262
1074,2768.07459843
1077,4061.00449496
1080,10373.9800907
1088,1566.81831343
1096,1644.62314518
1097,6941.13298691
1105,5662.52972471
1115,1593.43152995
1116,2732.66408954
1122,1905.95671483
1130,3182.50386178
1133,2114.52377401
1137,3577.24547246
1140,2057.50570321
1143,7154.78393055
1149,6846.71975151
1150,2114.52377401
1153,1692.92397866
1157,2062.64287865
1180,1310.14969967
1183,1697.05643371
1188,2717.5245584
1193,1469.77702422
1200,1264.74053985
1209,3069.15407192
1214,2116.67495859
1219,2301.33147587
1223,5992.43940721
1227,1692.92397866
1228,1563.99631809
1229,3724.44014325
1233,2500.2853862
1238,2925.77859318
1239,2154.39075162
1241,3589.51274681
1243,2157.79372089
1244,1946.70091876
1245,4350.39858612
1277,3844.45588643
1279,4202.25094736
1292,6777.09336013
1293,2486.06598151
1299,9128.95862454
1304,4199.10374885
1313,4778.12653698
1328,3472.49471337
1330,1947.41263247
1334,1726.44563798
1335,2097.56935219
1336,4067.71004286
1341,1595.95260176
1344,1946.70091876
1351,1855.71594731
1352,2165.72006039
1354,2613.11837649
1368,5992.69355832
1373,2227.84522574
1375,1264.74053985
1381,2181.99184268
1384,5227.10651878
1385,3262.87877049
1388,6407.74660577
1401,3751.54612852
1402,2382.44896033
1404,2414.24602085
1406,2275.39190885
1409,1264.74053985
1422,1851.55007652
1429,3549.25185381
1433,5083.37086656
1438,2038.5735827
1444,2328.78856512
1446,2056.10408002
1450,1676.2214747
1451,1264.74053985
1454,2206.09455437
1458,3209.63014149
1461,2436.85130749
1464,4715.36905636
1465,2157.79372089
1478,2253.07600243
1479,1644.62314518
1480,3291.44458343
1484,2227.84522574
1486,1549.47230294
1488,1760.56510507
1489,3017.55952202
1491,1686.9375732
1507,3936.11189206
1515,2522.53414749
1519,2635.62068922
1528,2785.4333224
1529,1937.53844012
1530,3381.45339111
1532,1644.62314518
1541,1848.39697184
1542,3751.35575282
1547,1644.62314518
1549,1593.89655352
1553,2376.81286253
1554,2559.19288362
1555,1777.91111557
1559,1946.70091876
1565,2173.97607509
1568,1424.36786441
1576,3430.97049204
1579,1639.23840859
1592,1566.81831343
1596,2890.73320237
1605,1644.62314518
1607,1945.01182339
1612,2139.67741465
1617,2665.30979999
1619,2586.21143912
1620,6472.86138008
1624,2298.48516224
1627,1946.70091876
1633,2131.01813002
1636,2186.49837014
1639,2002.41850995
1640,3128.74669531
1644,1528.55563103
1646,2206.09455437
1647,3462.64477614
1654,1634.89680211
1655,4074.7191704
1664,6008.68229456
1665,2184.00575769
